2026-07-12 14:19:51 | INFO     | jarvis.voice | Speech Ratio=0.57
2026-07-12 14:19:51 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:19:52 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:19:52 | INFO     | jarvis.voice | Recognition : Hi, Joys. Joys?
2026-07-12 14:19:52 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:19:57 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:19:57 | INFO     | jarvis.voice | Speech Ratio=0.04
2026-07-12 14:19:57 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:19:57 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:03 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:03 | INFO     | jarvis.voice | Speech Ratio=0.17
2026-07-12 14:20:03 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:20:03 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:08 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:08 | INFO     | jarvis.voice | Speech Ratio=0.41
2026-07-12 14:20:08 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:20:08 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:20:08 | INFO     | jarvis.voice | Recognition : What is Java?
2026-07-12 14:20:08 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:14 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:14 | INFO     | jarvis.voice | Speech Ratio=0.08
2026-07-12 14:20:14 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:20:14 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:19 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:19 | INFO     | jarvis.voice | Speech Ratio=0.16
2026-07-12 14:20:19 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:20:19 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:24 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:24 | INFO     | jarvis.voice | Speech Ratio=0.43
2026-07-12 14:20:24 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:20:25 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:20:25 | INFO     | jarvis.voice | Recognition : Javis
2026-07-12 14:20:25 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:30 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:30 | INFO     | jarvis.voice | Speech Ratio=0.05
2026-07-12 14:20:30 | INFO     | jarvis.voice | EVENT : SILENCE_DETECTED
2026-07-12 14:20:30 | INFO     | jarvis.voice | Recording started.
2026-07-12 14:20:35 | INFO     | jarvis.voice | Recording saved : recording.wav
2026-07-12 14:20:35 | INFO     | jarvis.voice | Speech Ratio=0.31
2026-07-12 14:20:35 | INFO     | jarvis.voice | EVENT : SPEECH_DETECTED
2026-07-12 14:20:36 | INFO     | jarvis.voice | Detected Language : en
2026-07-12 14:20:36 | INFO     | jarvis.voice | Recognition : created by the
